Size     Mo/NC/ AC/ FC/ DR   Ident       Dsize   NCC     TCC     BT/V    AP      S       Total    NumS    BJ   TypA/B    FCcost    DRcost    AS/AStime   ConsSort

100      bt/T/  BEFORE/ T/ T 1414384866  1.0     781     122     4/5     0.72    0.01    0.73     1       0    0/0       10        6         RANDOM/0.0  RANDOM
100      bt/T/  BEFORE/ T/ T 1621232424  1.0     760     85      4/5     0.57    0.01    0.58     1       0    0/0       10        6         RANDOM/0.0  RANDOM
100      bt/T/  BEFORE/ T/ T 1972691557  1.0     755     135     4/5     0.7     0.01    0.72     1       0    0/0       10        6         RANDOM/0.0  RANDOM
100      bt/T/  BEFORE/ T/ T 2028154060  1.0     788     175     4/5     0.68    0.01    0.69     1       0    0/0       10        6         RANDOM/0.0  RANDOM
100      bt/T/  BEFORE/ T/ T 2175312090  1.0     757     112     4/5     0.62    0.01    0.64     1       0    0/0       10        6         RANDOM/0.0  RANDOM
100      bt/T/  BEFORE/ T/ T 2258260002  1.0     774     109     4/5     0.62    0.01    0.63     1       0    0/0       10        6         RANDOM/0.0  RANDOM
100      bt/T/  BEFORE/ T/ T 4997565789  1.0     805     197     4/5     0.71    0.01    0.72     1       0    0/0       10        6         RANDOM/0.0  RANDOM
100      bt/T/  BEFORE/ T/ T 5192471197  1.0     778     124     4/5     0.69    0.01    0.7      1       0    0/0       10        6         RANDOM/0.0  RANDOM
100      bt/T/  BEFORE/ T/ T 5448756273  1.0     797     162     4/5     0.67    0.04    0.71     1       0    0/0       10        6         RANDOM/0.0  RANDOM
100      bt/T/  BEFORE/ T/ T 8634259052  1.0     798     132     4/5     0.7     0.01    0.71     1       0    0/0       10        6         RANDOM/0.0  RANDOM
200      bt/T/  BEFORE/ T/ T 1414384866  1.0     1446    276     4/5     2.49    0.02    2.51     1       0    0/0       10        6         RANDOM/0.0  RANDOM
200      bt/T/  BEFORE/ T/ T 1621232424  1.0     1411    169     4/5     2.26    0.01    2.27     1       0    0/0       10        6         RANDOM/0.0  RANDOM
200      bt/T/  BEFORE/ T/ T 1972691557  1.0     1407    275     4/5     2.45    0.01    2.46     1       0    0/0       10        6         RANDOM/0.0  RANDOM
200      bt/T/  BEFORE/ T/ T 2028154060  1.0     1423    320     4/5     2.6     0.0     2.6      1       0    0/0       10        6         RANDOM/0.0  RANDOM
200      bt/T/  BEFORE/ T/ T 2175312090  1.0     1418    236     4/5     2.43    0.01    2.44     1       0    0/0       10        6         RANDOM/0.0  RANDOM
200      bt/T/  BEFORE/ T/ T 2258260002  1.0     1417    241     4/5     2.51    0.01    2.52     1       0    0/0       10        6         RANDOM/0.0  RANDOM
200      bt/T/  BEFORE/ T/ T 4997565789  1.0     1479    432     4/5     2.88    0.01    2.89     1       0    0/0       10        6         RANDOM/0.0  RANDOM
200      bt/T/  BEFORE/ T/ T 5192471197  1.0     1418    211     4/5     2.31    0.01    2.32     1       0    0/0       10        6         RANDOM/0.0  RANDOM
200      bt/T/  BEFORE/ T/ T 5448756273  1.0     1422    248     4/5     2.5     0.01    2.51     1       0    0/0       10        6         RANDOM/0.0  RANDOM
200      bt/T/  BEFORE/ T/ T 8634259052  1.0     1444    258     4/5     2.48    0.02    2.5      1       0    0/0       10        6         RANDOM/0.0  RANDOM
300      bt/T/  BEFORE/ T/ T 1414384866  1.0     2094    485     4/5     5.91    0.01    5.92     1       0    0/0       10        6         RANDOM/0.0  RANDOM
300      bt/T/  BEFORE/ T/ T 1621232424  1.0     2038    254     4/5     5.11    0.02    5.13     1       0    0/0       10        6         RANDOM/0.0  RANDOM
300      bt/T/  BEFORE/ T/ T 1972691557  1.0     2040    372     4/5     5.6     0.02    5.62     1       0    0/0       10        6         RANDOM/0.0  RANDOM
300      bt/T/  BEFORE/ T/ T 2028154060  1.0     2076    471     4/5     6.29    0.01    6.3      1       0    0/0       10        6         RANDOM/0.0  RANDOM
300      bt/T/  BEFORE/ T/ T 2175312090  1.2     2072    404     4/6     5.55    0.02    5.57     2       0    0/0       14        6         RANDOM/0.0  RANDOM
300      bt/T/  BEFORE/ T/ T 2258260002  1.2     2081    564     8/10    5.82    0.03    5.85     2       0    0/0       20        12        RANDOM/0.0  RANDOM
300      bt/T/  BEFORE/ T/ T 4997565789  1.0     2115    627     4/5     6.68    0.01    6.69     1       0    0/0       10        6         RANDOM/0.0  RANDOM
300      bt/T/  BEFORE/ T/ T 5192471197  1.0     2077    443     4/5     5.76    0.02    5.78     1       0    0/0       10        6         RANDOM/0.0  RANDOM
300      bt/T/  BEFORE/ T/ T 5448756273  1.0     2044    314     4/5     5.56    0.01    5.57     1       0    0/0       10        6         RANDOM/0.0  RANDOM
300      bt/T/  BEFORE/ T/ T 8634259052  1.0     2096    516     4/5     6.16    0.01    6.17     1       0    0/0       10        6         RANDOM/0.0  RANDOM
400      bt/T/  BEFORE/ T/ T 1414384866  1.0     2720    752     4/5     11.96   0.01    11.97    1       0    0/0       10        6         RANDOM/0.0  RANDOM
400      bt/T/  BEFORE/ T/ T 1621232424  1.0     2672    375     4/5     9.09    0.01    9.1      1       0    0/0       10        6         RANDOM/0.0  RANDOM
400      bt/T/  BEFORE/ T/ T 1972691557  1.0     2671    502     4/5     10.01   0.02    10.03    1       0    0/0       10        6         RANDOM/0.0  RANDOM
400      bt/T/  BEFORE/ T/ T 2028154060  1.0     2747    780     4/5     11.79   0.01    11.8     1       0    0/0       10        6         RANDOM/0.0  RANDOM
400      bt/T/  BEFORE/ T/ T 2175312090  1.2     2723    636     4/6     10.16   0.03    10.19    2       0    0/0       14        6         RANDOM/0.0  RANDOM
400      bt/T/  BEFORE/ T/ T 2258260002  1.2     2726    923     4/6     11.84   0.02    11.86    2       0    0/0       14        6         RANDOM/0.0  RANDOM
400      bt/T/  BEFORE/ T/ T 4997565789  1.0     2754    906     4/5     12.13   0.01    12.15    1       0    0/0       10        6         RANDOM/0.0  RANDOM
400      bt/T/  BEFORE/ T/ T 5192471197  1.0     2732    710     4/5     10.87   0.01    10.88    1       0    0/0       10        6         RANDOM/0.0  RANDOM
400      bt/T/  BEFORE/ T/ T 5448756273  1.0     2682    439     4/5     9.67    0.01    9.68     1       0    0/0       10        6         RANDOM/0.0  RANDOM
400      bt/T/  BEFORE/ T/ T 8634259052  1.0     2725    745     4/5     11.18   0.01    11.19    1       0    0/0       10        6         RANDOM/0.0  RANDOM
